,model,num_cores,WER,sample_id,engine,run_id,time,text_len,audio_len
49,stt_en_citrinet_256,?,0.10204081632653061,1701-141760-0004,NeMo,5,0.3241916801780462,283,19.89
50,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,1,0.4608995597809553,161,12.685
51,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,2,0.382879126816988,161,12.685
52,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,3,0.40320521779358387,161,12.685
53,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,4,0.3857994209975004,161,12.685
54,QuartzNet15x5Base-En,?,0.07407407407407407,1701-141760-0005,NeMo,5,0.38437000662088394,161,12.685
55,stt_en_citrinet_256,?,0.07407407407407407,1701-141760-0005,NeMo,1,0.20872224681079388,161,12.685
56,stt_en_citrinet_256,?,0.07407407407407407,1701-141760-0005,NeMo,2,0.20183834433555603,161,12.685
57,stt_en_citrinet_256,?,0.07407407407407407,1701-141760-0005,NeMo,3,0.19457350485026836,161,12.685
58,stt_en_citrinet_256,?,0.07407407407407407,1701-141760-0005,NeMo,4,0.19900396652519703,161,12.685
59,stt_en_citrinet_256,?,0.07407407407407407,1701-141760-0005,NeMo,5,0.22769209928810596,161,12.685
60,QuartzNet15x5Base-En,?,0.0,1701-141760-0006,NeMo,1,0.27603282779455185,54,3.87
61,QuartzNet15x5Base-En,?,0.0,1701-141760-0006,NeMo,2,0.18259595520794392,54,3.87
62,QuartzNet15x5Base-En,?,0.0,1701-141760-0006,NeMo,3,0.19091587886214256,54,3.87
63,QuartzNet15x5Base-En,?,0.0,1701-141760-0006,NeMo,4,0.2323739118874073,54,3.87
64,QuartzNet15x5Base-En,?,0.0,1701-141760-0006,NeMo,5,0.18883540481328964,54,3.87
65,stt_en_citrinet_256,?,0.0,1701-141760-0006,NeMo,1,0.13703835010528564,54,3.87
66,stt_en_citrinet_256,?,0.0,1701-141760-0006,NeMo,2,0.13316386379301548,54,3.87
67,stt_en_citrinet_256,?,0.0,1701-141760-0006,NeMo,3,0.12852455489337444,54,3.87
68,stt_en_citrinet_256,?,0.0,1701-141760-0006,NeMo,4,0.1373883243650198,54,3.87
69,stt_en_citrinet_256,?,0.0,1701-141760-0006,NeMo,5,0.12016667239367962,54,3.87
70,QuartzNet15x5Base-En,?,0.0,1701-141760-0007,NeMo,1,0.22078169882297516,31,2.595
71,QuartzNet15x5Base-En,?,0.0,1701-141760-0007,NeMo,2,0.13878168165683746,31,2.595
72,QuartzNet15x5Base-En,?,0.0,1701-141760-0007,NeMo,3,0.1550124380737543,31,2.595
73,QuartzNet15x5Base-En,?,0.0,1701-141760-0007,NeMo,4,0.1428566761314869,31,2.595
74,QuartzNet15x5Base-En,?,0.0,1701-141760-0007,NeMo,5,0.15439829975366592,31,2.595
75,stt_en_citrinet_256,?,0.0,1701-141760-0007,NeMo,1,0.11846643686294556,31,2.595
76,stt_en_citrinet_256,?,0.0,1701-141760-0007,NeMo,2,0.10681934654712677,31,2.595
77,stt_en_citrinet_256,?,0.0,1701-141760-0007,NeMo,3,0.1100139282643795,31,2.595
78,stt_en_citrinet_256,?,0.0,1701-141760-0007,NeMo,4,0.1107342429459095,31,2.595
79,stt_en_citrinet_256,?,0.0,1701-141760-0007,NeMo,5,0.10811422765254974,31,2.595
80,QuartzNet15x5Base-En,?,0.0,1701-141760-0008,NeMo,1,0.26959305442869663,29,3.09
81,QuartzNet15x5Base-En,?,0.0,1701-141760-0008,NeMo,2,0.19228683598339558,29,3.09
82,QuartzNet15x5Base-En,?,0.0,1701-141760-0008,NeMo,3,0.19825133308768272,29,3.09
83,QuartzNet15x5Base-En,?,0.0,1701-141760-0008,NeMo,4,0.1913603786379099,29,3.09
84,QuartzNet15x5Base-En,?,0.0,1701-141760-0008,NeMo,5,0.16334322653710842,29,3.09
85,stt_en_citrinet_256,?,0.0,1701-141760-0008,NeMo,1,0.13257302157580853,29,3.09
86,stt_en_citrinet_256,?,0.0,1701-141760-0008,NeMo,2,0.12107343226671219,29,3.09
87,stt_en_citrinet_256,?,0.0,1701-141760-0008,NeMo,3,0.13578274101018906,29,3.09
88,stt_en_citrinet_256,?,0.0,1701-141760-0008,NeMo,4,0.1369063276797533,29,3.09
89,stt_en_citrinet_256,?,0.0,1701-141760-0008,NeMo,5,0.12840711511671543,29,3.09
90,QuartzNet15x5Base-En,?,0.09090909090909091,1701-141760-0009,NeMo,1,0.2798185721039772,60,4.07
91,QuartzNet15x5Base-En,?,0.09090909090909091,1701-141760-0009,NeMo,2,0.22171068005263805,60,4.07
92,QuartzNet15x5Base-En,?,0.09090909090909091,1701-141760-0009,NeMo,3,0.2268615197390318,60,4.07
93,QuartzNet15x5Base-En,?,0.09090909090909091,1701-141760-0009,NeMo,4,0.20381729863584042,60,4.07
94,QuartzNet15x5Base-En,?,0.09090909090909091,1701-141760-0009,NeMo,5,0.1876575220376253,60,4.07
95,stt_en_citrinet_256,?,0.09090909090909091,1701-141760-0009,NeMo,1,0.14115672558546066,60,4.07
